@relation 0_gimp(master)

@attribute author_date_unix_timestamp numeric
@attribute fix_unix_timestamp numeric
@attribute fix numeric
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {0,1}

@data
1303336680,-1,0,4,6,12,1.347047,198,4,714.916667,119,0.13639,3,7510,196.773144,1601.25,1
1303339319,-1,0,1,1,7,2.62243,43,21,223.428571,5,620.219929,3,108,5.780066,7,1
1303349121,-1,0,2,2,2,0.721928,1,9,1936,106,0.321863,2,175,15.975866,114,0
1303352305,1303305944,1,1,1,1,0,266,87,1559,11,0.036852,1,176,16.975866,125,1
1303363623,-1,0,1,1,1,0,27,9,2804,21,12.455197,1,177,17.392475,126,0
1303364309,1298203370,1,1,1,1,0,10,2,1415,12,12.463137,1,178,18.342475,127,0
1303374433,-1,0,1,1,1,0,2,2,1738,11,0.256111,1,179,19.123471,128,0
1303375116,-1,0,1,1,1,0,1,1,1560,13,0.513507,1,180,20.123471,29,0
1303375933,-1,0,1,1,1,0,0,2,862,4,64.62515,1,181,21.123471,6,0
1303377732,-1,0,1,1,2,0.200622,31,1,455.5,3,0.646921,1,92,6.748992,85,0
1303379087,-1,0,1,1,1,0,11,1,1222,4,0.711505,1,93,7.748992,86,1
1303379207,-1,0,1,1,1,0,11709,11895,16141,10,2068.554653,1,0,0,0,0
1303383776,-1,0,1,1,1,0,2439,2175,16056,23,204.827083,1,0,0,0,0
1303385285,-1,0,1,1,4,1.673552,33,17,391.5,9,239.411325,4,109,6.779222,8,1
1303408602,-1,0,1,1,2,0.684038,11,0,437,6,87.049427,2,1259,26.447622,964,0
1303412870,-1,0,2,2,3,1.224394,1,8,728.666667,14,0.736177,2,7511,195.621476,630.5,0
1303412972,-1,0,1,1,1,0,39,33,1306,18,9.863021,1,7512,196.620888,765,1
1303423582,-1,0,1,1,1,0,5,1,1312,18,0.122801,1,7513,193.417407,766,1
1303522322,936662600,1,1,1,3,1.584963,6,6,242.666667,7,825.127789,1,182,20.540734,129,0
1303722058,-1,0,1,1,9,2.633202,4158,4037,1319,10,62.923044,1,183,21.209527,130,0
1303738804,-1,0,1,1,1,0,0,4,105,4,1022.215243,1,184,22.042811,30,0
1303739188,1156262140,1,1,1,2,0.918296,4,2,352,3,1267.274045,2,185,23.042811,31,0
1303739365,-1,0,1,1,1,0,50,56,147,3,0.002049,1,186,24.042811,32,0
1303739995,-1,0,1,1,1,0,2,0,860,5,4.213681,1,187,25.041488,7,1
1303740128,1303739995,1,1,1,1,0,1,1,862,5,0.001539,1,188,26.041488,8,0
1303740190,-1,0,1,1,1,0,5,5,9,1,814.100995,1,1260,25.102165,965,0
1303740242,-1,0,1,1,1,0,3,3,862,5,0.001319,1,189,27.041488,9,0
1303740335,1295767713,1,1,1,1,0,0,1,377,4,89.360405,1,190,28.041488,10,0
1303742355,-1,0,1,1,1,0,45,30,2003,23,14.898692,1,191,29.041488,131,1
1303742574,-1,0,1,1,1,0,2,0,2018,23,0.002535,1,192,30.041488,132,0
1303745592,-1,0,1,1,1,0,3,6,2402,7,14.936157,1,193,31.040315,133,0
1303780761,-1,0,1,1,1,0,6,0,2305,104,4.995833,1,194,32.005535,105,0
1303785387,-1,0,1,1,1,0,49,43,2020,23,0.495521,1,195,33.005512,134,1
1303810207,-1,0,1,1,1,0,43,43,1732,9,17.623993,1,196,34.005512,135,0
1303811307,-1,0,1,1,1,0,3,3,2026,23,0.3,1,197,35.005512,136,0
1303811325,-1,0,1,1,1,0,45,32,1732,9,0.01294,1,198,36.005512,137,0
1303811383,-1,0,1,1,1,0,5,5,1745,9,0.000671,1,199,37.005512,138,0
1303864814,-1,0,1,1,1,0,1,0,376,5,1.440729,1,200,37.970877,11,0
1303916756,1303336680,1,1,1,1,0,1,1,382,7,5.832014,1,201,38.303709,4,0
1303918917,-1,0,1,1,3,1.584963,6,0,112,6,829.718009,1,202,39.303686,139,0
1303918960,-1,0,1,1,3,1.558428,77,191,2014,8,2.278958,1,203,40.303686,140,0
1303926446,-1,0,1,1,1,0,671,362,15259,5,23.995891,1,28,2.071906,10,0
1303946824,-1,1,1,1,1,0,2,0,2099,23,84.19912,1,7515,154.352132,6045,0
1303947888,1220552096,1,1,1,1,0,5,10,678,5,149.111019,1,7516,155.349756,6046,0
1303948597,-1,0,1,1,1,0,1,2,403,4,25.428958,1,7517,156.348796,6047,0
1303948778,-1,0,1,1,1,0,18,4,673,5,0.010301,1,7518,157.348796,6048,0
1303987658,-1,0,1,1,2,0.918296,3,3,646,4,581.715637,2,7519,158.047812,704,0
1303988970,-1,0,1,1,2,0.991076,2,7,1180.5,20,440.715249,2,7520,159.026257,498,0
1303989925,-1,0,1,1,3,1.490542,74,72,131,11,383.260104,3,7521,160.023508,14,0
1303993413,-1,0,1,6,19,3.954004,14,30,235.789474,32,426.793447,11,7522,160.937365,6049,0
1303993499,-1,0,1,1,5,2.321928,2,8,139.4,9,664.642627,2,7523,161.937358,499,0
1303993841,-1,1,8,8,104,6.637608,408,20,119.538462,111,630.40814,28,7524,162.936169,708.125,0
1303995229,-1,0,2,2,7,1.835432,121,117,1171.142857,16,78.997393,6,7525,163.932031,326,0
1303998639,-1,0,9,22,106,3.701071,428,257,730.622642,100,328.070673,62,7526,164.857113,983.333333,0
1304006260,-1,0,1,1,2,0.918296,22,11,124,2,87.081858,2,7527,165.641638,459,1
1304006325,-1,0,1,1,2,0.918296,3,0,668,4,486.153362,2,7528,166.641609,197,0
1304012062,-1,0,1,1,2,0.811278,6,10,445.5,10,26.134635,2,7529,167.629965,116,0
1304013531,-1,0,1,1,1,0,0,2,952,16,18.037303,1,7530,168.613673,768,0
1304013592,-1,0,2,2,100,6.636143,403,5,79.07,38,615.314557,23,7531,169.613673,603.5,0
1304069428,-1,0,1,1,1,0,1,0,114,2,240.542118,1,204,36.584493,0,0
1304241866,-1,0,2,2,2,1,3,3,235,12,504.307043,2,7532,162.708713,242,0
