"learning evaluation instances on certain fold","1-fold","2-fold","3-fold","4-fold","5-fold","6-fold","7-fold","8-fold","9-fold","10-fold"
93,45.16129032,45.16129032,45.16129032,45.16129032,45.16129032,45.16129032,45.16129032,45.16129032,45.16129032,45.16129032
94,45.74468085,45.74468085,45.74468085,45.74468085,45.74468085,45.74468085,45.74468085,45.74468085,45.74468085,45.74468085
95,46.31578947,46.31578947,46.31578947,46.31578947,46.31578947,46.31578947,46.31578947,46.31578947,46.31578947,46.31578947
96,45.83333333,45.83333333,45.83333333,45.83333333,45.83333333,45.83333333,45.83333333,45.83333333,45.83333333,45.83333333
97,46.39175258,46.39175258,46.39175258,46.39175258,46.39175258,46.39175258,46.39175258,46.39175258,46.39175258,46.39175258
98,46.93877551,46.93877551,46.93877551,46.93877551,46.93877551,46.93877551,46.93877551,46.93877551,46.93877551,46.93877551
99,47.47474747,47.47474747,47.47474747,47.47474747,47.47474747,47.47474747,47.47474747,47.47474747,47.47474747,47.47474747
100,48,48,48,48,48,48,48,48,48,48
101,47.52475248,47.52475248,47.52475248,47.52475248,47.52475248,47.52475248,47.52475248,47.52475248,47.52475248,47.52475248
102,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353
103,47.57281553,47.57281553,47.57281553,47.57281553,47.57281553,47.57281553,47.57281553,47.57281553,47.57281553,47.57281553
104,48.07692308,48.07692308,48.07692308,48.07692308,48.07692308,48.07692308,48.07692308,48.07692308,48.07692308,48.07692308
105,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857
106,49.05660377,49.05660377,49.05660377,49.05660377,49.05660377,49.05660377,49.05660377,49.05660377,49.05660377,49.05660377
107,49.53271028,49.53271028,49.53271028,49.53271028,49.53271028,49.53271028,49.53271028,49.53271028,49.53271028,49.53271028
108,50,50,50,50,50,50,50,50,50,50
109,49.5412844,49.5412844,49.5412844,49.5412844,49.5412844,49.5412844,49.5412844,49.5412844,49.5412844,49.5412844
110,49.09090909,49.09090909,49.09090909,49.09090909,49.09090909,49.09090909,49.09090909,49.09090909,49.09090909,49.09090909
111,49.54954955,49.54954955,49.54954955,49.54954955,49.54954955,49.54954955,49.54954955,49.54954955,49.54954955,49.54954955
112,49.10714286,49.10714286,49.10714286,49.10714286,49.10714286,49.10714286,49.10714286,49.10714286,49.10714286,49.10714286
113,48.67256637,48.67256637,48.67256637,48.67256637,48.67256637,48.67256637,48.67256637,48.67256637,48.67256637,48.67256637
114,48.24561404,48.24561404,48.24561404,48.24561404,48.24561404,48.24561404,48.24561404,48.24561404,48.24561404,48.24561404
115,48.69565217,48.69565217,48.69565217,48.69565217,48.69565217,48.69565217,48.69565217,48.69565217,48.69565217,48.69565217
116,49.13793103,49.13793103,49.13793103,49.13793103,49.13793103,49.13793103,49.13793103,49.13793103,49.13793103,49.13793103
117,49.57264957,49.57264957,49.57264957,49.57264957,49.57264957,49.57264957,49.57264957,49.57264957,49.57264957,49.57264957
118,50,50,50,50,50,50,50,50,50,50
119,49.57983193,49.57983193,49.57983193,49.57983193,49.57983193,49.57983193,49.57983193,49.57983193,49.57983193,49.57983193
120,50,50,50,50,50,50,50,50,50,50
121,50.41322314,50.41322314,50.41322314,50.41322314,50.41322314,50.41322314,50.41322314,50.41322314,50.41322314,50.41322314
122,50.81967213,50.81967213,50.81967213,50.81967213,50.81967213,50.81967213,50.81967213,50.81967213,50.81967213,50.81967213
123,50.40650407,50.40650407,50.40650407,50.40650407,50.40650407,50.40650407,50.40650407,50.40650407,50.40650407,50.40650407
124,50,50,50,50,50,50,50,50,50,50
125,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4
126,50,50,50,50,50,50,50,50,50,50
127,50.39370079,50.39370079,50.39370079,50.39370079,50.39370079,50.39370079,50.39370079,50.39370079,50.39370079,50.39370079
128,50.78125,50.78125,50.78125,50.78125,50.78125,50.78125,50.78125,50.78125,50.78125,50.78125
129,51.1627907,51.1627907,51.1627907,51.1627907,51.1627907,51.1627907,51.1627907,51.1627907,51.1627907,51.1627907
130,50.76923077,50.76923077,50.76923077,50.76923077,50.76923077,50.76923077,50.76923077,50.76923077,50.76923077,50.76923077
131,51.14503817,51.14503817,51.14503817,51.14503817,51.14503817,51.14503817,51.14503817,51.14503817,51.14503817,51.14503817
